Table S1 Original predicted PPIs ,,,,,,,
interactor A,annotation,interactor B,annotation,taxid,Organism,method,ref
Unigene3955,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12215523
Unigene3955,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:9372940
Unigene3955,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene3955,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene3955,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:18268104
Unigene3955,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18268103
Unigene4894,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12808088
Unigene5880,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:9372940
Unigene5880,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene5880,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene8197,--,Unigene16789,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene15206,--,Unigene17128,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene17128,--,Unigene17128,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0090""(protein complementation assay)",pubmed:16300994
Unigene17128,--,Unigene17128,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene18051,--,Unigene17128,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21623372
Unigene555,--,Unigene17128,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20526336
Unigene8030,--,Unigene17128,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene11256,--,Unigene17173,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene17173,--,Unigene17173,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21777812
Unigene16505,--,Unigene1814,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene1814,--,Unigene1814,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18434596
Unigene1889,--,Unigene1889,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14532110
Unigene1889,--,Unigene1889,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15878866
Unigene1889,--,Unigene1889,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:17959826
Unigene16789,--,Unigene2024,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12068309
Unigene16789,--,Unigene2024,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene2107,--,Unigene2024,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene5880,--,Unigene2024,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene16789,--,Unigene2107,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12068309
Unigene16789,--,Unigene2107,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene5880,--,Unigene2107,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene8197,--,Unigene2107,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene2334,--,Unigene2334,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:14745011
Unigene2334,--,Unigene2334,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:14745011
Unigene3950,--,Unigene23704,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene8737,--,Unigene23704,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene8774,--,Unigene23704,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene238,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene4243,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805826
Unigene4243,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene4243,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene4243,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0090""(protein complementation assay)",pubmed:18467557
Unigene4243,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19433447
Unigene4243,--,Unigene238,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0090""(protein complementation assay)",pubmed:22615397
Unigene4233,--,Unigene26623,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:15679097
Unigene8197,--,Unigene26623,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene14546,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22836166
Unigene15470,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0090""(protein complementation assay)",pubmed:18467557
Unigene16789,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12068309
Unigene16789,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12150911
Unigene16789,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene16789,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene23704,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene238,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene26623,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22199229
Unigene3950,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene3955,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene5880,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene8197,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene8197,--,Unigene3950,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene16789,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene16789,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12068309
Unigene16789,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12150911
Unigene16789,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene16789,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene2024,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene2107,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene3955,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:18268104
Unigene5880,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:15670595
Unigene5880,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:9372940
Unigene5880,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene5880,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene5880,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:18268104
Unigene8197,--,Unigene3955,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene11307,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12543930
Unigene11307,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11387327
Unigene11307,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:22357553
Unigene12872,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene12872,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene26623,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11309407
Unigene26623,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:15679097
Unigene4243,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:16651379
Unigene5880,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0428""(imaging technique)",pubmed:15367670
Unigene5880,--,Unigene4233,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15367670
Unigene238,--,Unigene4243,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805826
Unigene238,--,Unigene4243,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12374754
Unigene238,--,Unigene4243,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene4243,--,Unigene4243,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene4243,--,Unigene4243,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16651379
Unigene4335,--,Unigene4335,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19013276
Unigene4335,--,Unigene4335,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0415""(enzymatic study)",pubmed:22813733
Unigene12183,--,Unigene4394,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:22875988
Unigene4394,--,Unigene4394,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0090""(protein complementation assay)",pubmed:18467557
Unigene4394,--,Unigene4394,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0090""(protein complementation assay)",pubmed:22615397
Unigene471,--,Unigene4394,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805826
Unigene471,--,Unigene4394,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene471,--,Unigene4394,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21625618
Unigene12183,--,Unigene4553,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene11256,--,Unigene468,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene14546,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:11971964
Unigene14546,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12923185
Unigene14546,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22836166
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:15383837
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0401""(biochemical)",pubmed:16642217
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:17975557
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:17975557
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:18324784
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:18324784
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:18366654
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18353968
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:18400756
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:18780782
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:18757753
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:18833196
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:19345193
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:19408895
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:19890987
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:19853305
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:19706519
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:20081853
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:20081853
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:20224794
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:20695483
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21392508
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21423195
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:22176525
Unigene471,--,Unigene471,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:22466073
Unigene11256,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11583615
Unigene11256,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12374754
Unigene11256,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene11256,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16803892
Unigene11256,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene11307,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11387327
Unigene16789,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene238,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12773575
Unigene4894,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12808088
Unigene4894,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16888624
Unigene4894,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:16861225
Unigene5904,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene8197,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:11805826
Unigene8197,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene8197,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene8197,--,Unigene4894,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene17173,--,Unigene5061,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21777812
Unigene5061,--,Unigene5061,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:10542082
Unigene5061,--,Unigene5061,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:10542094
Unigene7828,--,Unigene5061,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:9885248
Unigene12183,--,Unigene5457,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
Unigene17128,--,Unigene5457,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:16702413
Unigene5457,--,Unigene5457,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene17128,--,Unigene555,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:19547744
Unigene14546,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:19061648
Unigene16557,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:14759368
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12068309
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12150911
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:9372940
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:9372940
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:18268104
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18631361
Unigene16789,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene2107,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15231838
Unigene3950,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene3955,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12215523
Unigene3955,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:9372940
Unigene3955,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:9372940
Unigene3955,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:18268104
Unigene3955,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18268103
Unigene4894,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12808088
Unigene5880,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0018""(two hybrid)",pubmed:18268104
Unigene8197,--,Unigene5880,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene11256,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16429126
Unigene11256,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:17200106
Unigene12872,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:16581791
Unigene16789,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21558325
Unigene17173,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0096""(pull down)",pubmed:21777812
Unigene4894,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:12808088
Unigene8197,--,Unigene5904,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:21926967
Unigene676,--,Unigene676,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22940862
Unigene11307,--,Unigene7749,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18046405
Unigene12872,--,Unigene7749,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:17182855
Unigene4233,--,Unigene7749,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0055""(fluorescent resonance energy transfer)",pubmed:10678175
Unigene4233,--,Unigene7749,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:10678175
Unigene7797,--,Unigene7749,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:18046405
Unigene11307,--,Unigene7797,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:8970155
Unigene13405,--,Unigene7797,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:19273614
Unigene4233,--,Unigene7797,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:16554755
Unigene17173,--,Unigene7828,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:21777812
Unigene12183,--,Unigene8030,--,taxid:559292,Saccharomyces_cerevisiae,"psi-mi:""MI:0254""(genetic interference)",pubmed:20093466
